"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
44,"NCT00815464","A Single-Arm Study Evaluating the Efficacy of Liquid Acupuncture Therapeutics in Chronic Hepatitis B","Not yet recruiting","No Results Available","Hepatitis B, Chronic|Liver Diseases|Virus Diseases|Hepatitis|Diffuse Hepatic Disease","Device: Liquid Acupuncture (Herb Acupoint Injection)","Yu Medical Garden","Both","Adult","","30","Other","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","YMG-PR-001","December 29, 2008","March 2009","March 2010","December 29, 2008","December 2008","No Study Results Posted","CHB","September 2009","Permanent Efficacy response after whole treatment circle close(about 24-48 weeks): 1、HBeAg loss(if HBeAg positive) 2、HBV DNA non-detectability (PCR <500 copies/ml) 3、Liver function normal(If Liver function off normal)|HBsAg titer will decrease continually up to loss after cessation of the treatment.","https://ClinicalTrials.gov/show/NCT00815464"
45,"NCT01889433","An Open-label Comparative Efficacy and Safety Study of Algeron (Cepeginterferon Alfa-2b) in Treatment-naive Patients With Chronic Hepatitis C","Recruiting","No Results Available","Hepatitis|Hepatitis C","Drug: Algeron|Drug: Pegasys","Biocad","Both","Adult|Senior","Phase 3","500","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","BCD-016-3","June 26, 2013","November 2013","November 2016","July 17, 2015","July 2015","No Study Results Posted","null","November 2016","EVR|RVR|SVR (24)|EOT|Biochemical Response|Histological Response","https://ClinicalTrials.gov/show/NCT01889433"
46,"NCT01772121","Observational Study on Prevalence of Host and Viral Genotypes in Chronic Hepatitis B and Hepatitis C Patients in India","Completed","No Results Available","Hepatitis B|Hepatitis C","","Gilead Sciences","Both","Adult|Senior","","1000","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","GX-US-174-0196","January 17, 2013","May 2012","October 2012","July 7, 2015","July 2015","No Study Results Posted","null","October 2012","Variation in the IL28B rs12979860 SNP|Prevelance of HBV and HCV genotypes|Characterize the SNPs present in innate immune factors toll-like receptor 7 (TLR7)","https://ClinicalTrials.gov/show/NCT01772121"
47,"NCT01413360","The Effect of High Dose Vitamin C on the Liver Function in Chronic Hepatitis Patients","Recruiting","No Results Available","Chronic Hepatitis|Chronic Hepatitis C|Chronic Alcoholic Hepatitis","Drug: High dose vitamin C","Seoul National University Hospital","Both","Adult|Senior","Phase 4","30","Other","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","VitC","August 9, 2011","August 2011","December 2014","November 26, 2014","November 2014","No Study Results Posted","null","December 2014","The change of serum alanine aminotransferase level|The change of serum interleukin 22 level","https://ClinicalTrials.gov/show/NCT01413360"
48,"NCT02250807","Efficacy and Safety Study of Simeprevir in Combination With Sofosbuvir in Subjects With Chronic Genotype 4 Hepatitis C Virus Infection","Active, not recruiting","No Results Available","Chronic Hepatitis C|Genotype 4 Chronic Hepatitis C","Drug: Simeprevir|Drug: Sofosbuvir","Janssen R&D Ireland","Both","Adult|Senior","Phase 3","40","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","CR105429|TMC435HPC3021|2014-003446-27","September 24, 2014","January 2015","January 2016","September 25, 2015","September 2015","No Study Results Posted","null","November 2015","Percentage of Subjects With Sustained Virologic Response (SVR 12) at Week 12 After End of Treatment (EOT)|Percentage of Subjects With Sustained Virologic Response at Week 4 (SVR 4) and 24 (SVR 24) After EOT|Percentage of Subjects With On-treatment Virologic Response of Hepatitis C Virus (HCV) Ribonucleic Acid (RNA)|Percentage of Subjects With on-treatment failure along with Viral Breakthrough|Percentage of Subjects With Viral Relapse","https://ClinicalTrials.gov/show/NCT02250807"
49,"NCT00524576","Challenge Dose of Hepatitis B Vaccine in Subjects Who Previously Received Engerix™-B Vaccine","Completed","Has Results","Hepatitis B|Hepatitis B Vaccine","Biological: Engerix™-B","GlaxoSmithKline","Both","Child|Adult","Phase 4","144","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","108988","August 31, 2007","November 2007","May 2008","March 17, 2011","March 2011","May 14, 2009","null","May 2008","Number of Participants With Immunological Response to Challenge Dose in Terms of Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentration|Number of Participants With Anti-HBs Antibody Concentrations Above the Cut-off Value|Concentration of Anti-HBs Antibodies|Number of Participants Reporting Solicited Local Symptoms|Number of Participants Reporting Solicited General Symptoms|Number of Participants Reporting Unsolicited Adverse Events (AE)|Number of Participants Reporting Serious Adverse Events (SAE)","https://ClinicalTrials.gov/show/NCT00524576"
50,"NCT02011763","Safety of Two Doses of Avaxim® 80U Pediatric (Inactivated Hepatitis A Vaccine) in Toddlers, Children and Adolescents","Completed","No Results Available","Hepatitis A|Hepatitis A Virus","Biological: Avaxim 80U Pediatric: Inactivated Hepatitis A Virus","Sanofi Pasteur, a Sanofi Company|Sanofi","Both","Child","Phase 4","355","Industry","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label","HAF87|U1111-1127-7652","December 10, 2013","December 2013","August 2015","September 29, 2015","September 2015","No Study Results Posted","null","September 2014","Number of participants reporting solicited injection site and systemic events and unsolicited adverse events following vaccination with Avaxim® 80U Pediatric (Inactivated Hepatitis A vaccine).","https://ClinicalTrials.gov/show/NCT02011763"
51,"NCT00188201","Neurocognitive Functioning in Patients With Hepatitis C Pre- and Post-Treatment With Antiviral Medication","Recruiting","No Results Available","Hepatitis C|Hepatitis B","","University Health Network, Toronto","Both","Adult","","150","Other","Observational","Observational Model: Defined Population|Time Perspective: Longitudinal|Time Perspective: Prospective","01-0827-E|EOP-48307","September 9, 2005","January 2002","null","November 28, 2005","September 2005","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00188201"
52,"NCT01195181","Different PEG-interferon and Ribavirin Schedules for Chronic Hepatitis C in the Real Clinical Practice.","Completed","No Results Available","Hepatitis C Virus|Chronic Liver Disease|Viral Hepatitis|Therapeutic Uses|Antiviral Agents","Drug: peginterferon plus ribavirin","Azienda Ospedaliera di Padova|Regione Veneto|University of Padua","Both","Adult","Phase 4","506","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","HEPCOVE protocol|DRG N.2920/2002","August 31, 2010","September 2005","August 2010","September 3, 2010","September 2010","No Study Results Posted","null","December 2009","Evaluation of real dose drugs intake in relation to sustained virological response (SVR).|Description of the profile of the virus decay during antiviral therapy in relation to virological response.","https://ClinicalTrials.gov/show/NCT01195181"
53,"NCT00347009","Adefovir Dipivoxil For The Treatment Of Patients With Chronic Hepatitis B Related Advanced Fibrosis Or Cirrhosis","Completed","Has Results","Hepatitis B, Chronic|Cirrhosis|Fibrosis|Chronic Hepatitis B","Drug: adefovir dipivoxil","GlaxoSmithKline","Both","Adult|Senior","Phase 4","155","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","ADF104070","June 30, 2006","May 2005","September 2009","May 31, 2012","March 2011","September 20, 2010","null","September 2009","Number of Participants With Histologic Improvement at Month 36 (Intent-to-Treat Population)|Number of Participants With Histologic Improvement at Month 36 (Per Protocol Population)|Number of Participants With a Reduction From Baseline in the Child-Pugh Score by 2 Points or More at Months 12, 24, and 36|Number of Participants With a Reduction From Screening of at Least 2 Points in the Knodell Necroinflammation Score at Month 36|Change From Baseline in Serum Hepatitis B Virus (HBV) Deoxyribonucleic Acid (DNA) Level at Months 12, 24, and 36|Number of Participants Achieving Virological Response (HBV DNA Level <= 10^3 Copies/ml) at Months 12, 24, and 36|Number of Participants Achieving Virological Response (HBV DNA Level <= 10^4 Copies/ml) at Months 12, 24, and 36|Number of Participants With Undetectable HBV DNA at Months 12, 24, and 36|Number of Participants With Virological Breakthrough at Months 12, 24, and 36|Number of Participants With Alanine Aminotransferase (ALT) Normalization at Months 12, 24, and 36|Number of Participants Who Were Hepatitis B Envelope Antigen (HBeAg) Positive at Baseline and Developed Undetectable Levels of HBeAg at Months 12, 24, and 36|Number of Participants Who Were HBeAg Positive at Baseline, With HBeAg Seroconversion at Months 12, 24, and 36|Number of Participants Who Were Hepatitis B Surface Antigen (HBsAg) Positive at Baseline and Developed Undetectable Levels of HBsAg at Months 12, 24, and 36|Number of Participants Who Were HBsAg Positive at Baseline, With HBsAg Seroconversion at Months 12, 24, and 36","https://ClinicalTrials.gov/show/NCT00347009"
54,"NCT00496002","Efficacy and Safety of Clevudine Compared With Adefovir in Patients With HBeAg Positive Chronic Hepatitis Due to Hepatitis B Virus","Terminated","No Results Available","Chronic Hepatitis|Hepatitis B","Drug: Clevudine|Drug: Adefovir","Pharmasset","Both","Child|Adult|Senior","Phase 3","null","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Primary Purpose: Treatment|Masking: Double-Blind","CI-PSI-5268-06-305","July 2, 2007","August 2007","null","April 23, 2009","April 2009","No Study Results Posted","QUASH 1","null","","https://ClinicalTrials.gov/show/NCT00496002"
55,"NCT00412529","Viral Kinetics Study of Telbivudine and Entecavir in Adults With Chronic Hepatitis B","Completed","Has Results","Hepatitis B|Chronic Hepatitis B","Drug: Entecavir|Drug: Telbivudine","Novartis Pharmaceuticals|Novartis","Both","Adult|Senior","Phase 3","44","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","CLDT600A2407","December 15, 2006","December 2006","null","February 23, 2015","February 2015","December 2, 2010","null","February 2008","Change in Mean Hepatitis B Virus (HBV) DNA Levels|Change in Mean HBV DNA Level|The Area Under the Curve (AUC) of HBV DNA Change.|Change in Alanine Aminotransferase (ALT) Levels|Characterization of Very Early Viral Kinetics: Estimation of Viral Clearance|Characterization of Very Early Viral Kinetics: Estimation of the Rate of Infected Cell Loss|Characterization of Very Early Viral Kinetics: Estimation of the Efficiency Factor of Blocking Virus Production|Number of Patients Who Are Polymerase Chain Reaction (PCR) Negative","https://ClinicalTrials.gov/show/NCT00412529"
56,"NCT02593162","A Study of Faldaprevir, Ribavirin and TD-6450 in Participants With Genotype 4 Hepatitis C Virus Infection","Recruiting","No Results Available","Hepatitis C Viral Infection|Chronic Hepatitis C|Hepatitis C (HCV)|Hepatitis C Genotype 4","Drug: Faldaprevir|Drug: TD-6450|Drug: Ribavirin","Trek Therapeutics, PBC","Both","Adult|Senior","Phase 2","24","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)","TRK-450-0201","October 29, 2015","October 2015","July 2016","October 29, 2015","October 2015","No Study Results Posted","null","July 2016","Percentage of subjects achieving 12-week sustained virologic response following treatment with 2 direct acting anti-virals and ribavirin in Genotype 4 Hepatitis C infected adults|Percentage of subjects with virologic response at Week 12 (HCV RNA less than lower limit of quantitation at end of therapy with Faldaprevir plus TD-6450 plus ribavirin)|Percentage of subjects with virologic response 2, 4 and 8 weeks after treatment completion (HCV RNA less than lower limit of quantitation at 2, 4 and 8 weeks after end of therapy with Faldaprevir plus TD-6450 plus ribavirin)","https://ClinicalTrials.gov/show/NCT02593162"
57,"NCT00403585","Study of Adefovir Dipivoxil for Korean Patients With Chronic Hepatitis B(CHB) Who Have Completed ADF 103814","Completed","Has Results","Hepatitis B, Chronic|Chronic Hepatitis B","Drug: adefovir dipivoxil 10mg","GlaxoSmithKline","Both","Adult|Senior","Phase 4","80","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","ADF108005|update with ADF103814","November 23, 2006","July 2006","April 2008","November 24, 2010","November 2010","April 24, 2009","null","April 2008","Hepatitis B Virus (HBV) DNA (log10 Copies/mL) Change From Baseline at Week 156 of Adefovir Therapy|Number of Participants Achieving ALT Normalization at Week 104 & 156|Number of Participants Achieving Virological Response at Week 104 & 156|HBV DNA Levels at Each Collection Time Point From Baseline Through Week 156|Number of Participants With HBeAg Loss, HBeAg Seroconversion, HBsAg Loss and HBsAg Seroconversion at Week 104 & 156|Safety Assessment: Number of Participants With a Serious Adverse Event and an Adverse Event","https://ClinicalTrials.gov/show/NCT00403585"
58,"NCT00154869","Peginterferon Alfa-2a Plus Ribavirin for Chronic Hepatitis C/Hepatitis B Co-Infection and Chronic Hepatitis C","Recruiting","No Results Available","Hepatitis B, Chronic|Hepatitis C, Chronic","Drug: Peginterferon Alfa-2a plus Ribavirin","National Taiwan University Hospital|Hoffmann-La Roche","Both","Adult|Senior","Phase 3","320","Other|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","921003|ML17862","September 8, 2005","June 2004","August 2007","August 10, 2007","August 2005","No Study Results Posted","null","null","To demonstrate the efficacy of peginterferon alfa-2a (PEG-IFN alfa-2a) (Pegasys®) plus ribavirin (RBV) for sustained virological response (SVR) in HBV-coinfected versus monoinfected chronic hepatitis C (CHC) patients|To demonstrate the efficacy of peginterferon alfa-2a (PEG-IFN alfa-2a) (Pegasys®) plus ribavirin (RBV) on the reduction of HCV viremia after 24 and 48 weeks of treatment (depending on genotype) in coinfected versus monoinfected CHC patients|To demonstrate the efficacy of PEG-IFN alfa-2a plus RBV in dual chronic hepatitis C and B on:|1) the biochemical response rate|2) the score of histologic change|3) serum HBV DNA disappearance|4) HBsAg disappearance|5) combined response of HBV DNA disappearance and normalization of ALT|6) end of treatment virological response|To assess the influence of serum HBV load on the clearance of serum HCV RNA, the loss of serum HBV DNA, and normalization of serum ALT|To assess the influence of HBV genotype on the clearance of serum HCV RNA, the loss of serum HBV DNA, and normalization of serum ALT|To assess the safety profile of the PEG-IFN alfa-2a plus RBV combination therapy in dual chronic hepatitis C and B","https://ClinicalTrials.gov/show/NCT00154869"
59,"NCT00603252","Study to Show That the Combined Hepatitis A and B Vaccine is Non-inferior to Monovalent Vaccines in Adults","Completed","No Results Available","Hepatitis B|Hepatitis A","Biological: Twinrix|Biological: Engerix-B|Biological: Havrix|Biological: HBVAXPRO|Biological: Vaqta","GlaxoSmithKline","Both","Adult|Senior","Phase 4","213","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label","111149","January 16, 2008","January 2008","June 2008","May 22, 2014","May 2014","No Study Results Posted","null","May 2008","Anti-HAV immune response to the challenge dose|Anti-HBs antibody response to the challenge dose|Percentage of subjects with anti-HAV antibody titres ≥ 15 mIU/ml and GMTs calculated on seropositive subjects|Percentage of subjects with anti-HBs antibody titres ≥ 3.3 mIU/ml, ≥ 10 mIU/ml, ≥ 100 mIU/ml and anti-HBs GMTs calculated on seropositive subjects|Occurrence and intensity of solicited local symptoms|Occurrence, intensity and relationship of solicited general symptoms|Occurrence, intensity and relationship to vaccination of unsolicited symptoms reported|Occurrence of all serious adverse events (SAEs) reported","https://ClinicalTrials.gov/show/NCT00603252"
60,"NCT01306071","Observational Study of Persons With Hepatitis B Virus Infection in North America","Recruiting","No Results Available","Chronic Hepatitis B e Antigen Positive|Chronic Hepatitis B e Antigen Negative","","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","","200","NIH","Observational","Time Perspective: Prospective","110108|11-DK-0108","February 26, 2011","February 2011","null","June 10, 2015","June 2015","No Study Results Posted","null","null","To describe participants with hepatitis","https://ClinicalTrials.gov/show/NCT01306071"
61,"NCT01581554","Withdrawal of Therapy After Long-Term Antiviral Treatment for Chronic Hepatitis B","Recruiting","No Results Available","Chronic Hepatitis B e Antigen Positive|Chronic Hepatitis B e Antigen Negative","","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","","50","NIH","Observational","Time Perspective: Prospective","110151|11-DK-0151","April 19, 2012","April 2011","null","June 5, 2015","May 2015","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT01581554"
62,"NCT00823342","ANRS HB 05 Multicenter Study Evaluating Efficacy and Safety of Clevudine Monotherapy Versus Tenofovir Monotherapy Versus Combination Therapy of Clevudine and Tenofovir for 96 Weeks in HBeAg Negative Patients With Chronic Hepatitis B, naïve to Anti-VHB Therapy","Terminated","No Results Available","HBe Negative Chronic Hepatitis B|Hepatitis B Viral Infection","Drug: CLEVUDINE + TENOFOVIR PLACEBO|Drug: CLEVUDINE IN ASSOCIATION TENOFOVIR|Drug: TENOFOVIR + CLEVUDINE PLACEBO","French National Agency for Research on AIDS and Viral Hepatitis|Gilead Sciences|Pharmasset","Both","Adult|Senior","Phase 3","150","Other|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator)","2008-000733-21|ANRS HB 05","January 14, 2009","December 2008","September 2011","May 7, 2009","May 2009","No Study Results Posted","null","March 2011","Compare the long term efficacy of new anti-HBV strategies of CLV monotherapy VS TDF monotherapy VS the combination of CLV + TDF for 96 weeks in HBeAg negative patients with CHB, naïve to anti-HBV-therapy, at 24 weeks post-treatment|Compare the safety profile of CLV + TDF compared to that of CLV and TDF in HBeAg negative patients with CHB, naïve to anti-HBV-therapy. - To compare perceived toxicity as expressed by the nature and the number of self-reported side effects, percept","https://ClinicalTrials.gov/show/NCT00823342"
63,"NCT02366286","Identification of Chronic Hepatitis B Infections Among Somali Immigrants in Minnesota Through Community-wide Screening","Recruiting","No Results Available","Hepatitis B|Hepatitis C|Carcinoma, Hepatocellular","","Mayo Clinic|Gargar Urgent Care & Clinic|Axis Medical Center","Both","Adult|Senior","","1000","Other","Observational","Time Perspective: Prospective","09-001670|IN-US-174-0230","October 8, 2014","November 2010","December 2016","February 11, 2015","February 2015","No Study Results Posted","null","December 2016","Number of subjects who test positive for markers of Hepatitis B Virus infection (HBsAg, HBcAb, HBsAb)|Number of subjects who test positive for markers of Hepatitis C Virus infection (anti-HCV infection)|Rate of HBV vaccination in subjects with negative HBV serology|Incidence of HCC over the period of the study","https://ClinicalTrials.gov/show/NCT02366286"
64,"NCT01306617","A Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of ABT-450 With Ritonavir (ABT-450/r) When Given Together With ABT-333 and Ribavirin (RBV) in Treatment-Naïve and Non-responder Subjects With Genotype 1 Chronic Hepatitis C Virus (HCV) Infection","Completed","Has Results","Chronic Hepatitis C Infection|Hepatitis C|Hepatitis C Virus","Drug: ABT-450|Drug: ABT-333|Drug: ribavirin|Drug: ritonavir","AbbVie (prior sponsor, Abbott)|AbbVie","Both","Adult","Phase 2","50","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M12-746","February 28, 2011","February 2011","October 2012","December 29, 2014","December 2014","December 29, 2014","null","November 2011","Percentage of Participants With Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) Suppressed Below the Lower Limit of Detection (LLOD) From Week 4 Through Week 12|Percentage of Participants With HCV RNA < 1000 International Units Per Milliliter (IU/mL)|Percentage of Participants With HCV RNA Below the Lower Limit of Quantitation (LLOQ; <25 IU/mL) at Week 4|Percentage of Participants With Sustained Virologic Response 12 Weeks (SVR12) Post-treatment|Percentage of Participants With Sustained Virologic Response 24 Weeks (SVR24) Post-Treatment|Time to Failure to Suppress or Rebound During Treatment|Time to Virologic Relapse Post-treatment|Resistance-Associated Variants and Phenotypic Resistance|Pharmacokinetics (C Trough) of ABT 450 in HCV Infected Participants|Pharmacokinetics (C Trough) of ABT-333 in HCV Infected Participants|Pharmacokinetics (C Trough) of Ritonavir in HCV Infected Participants|Pharmacokinetics (C Trough) of Ribavirin in HCV Infected Participants","https://ClinicalTrials.gov/show/NCT01306617"
65,"NCT02511431","Treatment of Chronic Delta Hepatitis With Lonafarnib and Ritonavir","Recruiting","No Results Available","Hepatitis D","Drug: Lonafarnib|Drug: Ritonavir|Other: Placebo","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","Phase 2","21","NIH","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator)","150170|15-DK-0170","July 29, 2015","July 2015","December 2030","August 11, 2015","July 2015","No Study Results Posted","null","January 2017","Primary Therapeutic Endpoint: Decline of HDV RNA Quantitative Measurements of & gt; 2 logs from baseline at 12 and 24 weeks of therapy with lonafarnib and ritonavir.|The ability to tolerate lonafarnib and ritonavir at the prescribed dose for 12 and 24 weeks of therapy.|Sustained undetectable HDV RNA in serum at weeks 12 and 24 of post-treatment follow-up.|Comparison of HDV RNA decline between 12 and 24 weeks of therapy at differing doses.|Comparison of ALT changes between different doses of lonafarnib|Loss of HBsAg from the serum at the end of therapy, at week 12 of post-therapy follow-up and at week 24 of post-therapy follow-up.|Changes in symptom scale measurements and quality of life before, during and after therapy.|Seroconversion of HBsAg at the end of therapy, at week 12 of post- therapy follow up and at week 24 of post-therapy follow-up.|Changes in the fecal microbiome before and after treatment|Comparison of fecal microbiome analysis between different groups|Undetectable HDV RNA in serum by quantitative measurements at the end of therapy.|Comparison of serologic HDV RNA decline between different doses of lonafarnib","https://ClinicalTrials.gov/show/NCT02511431"
66,"NCT02148562","Assessment of Hepatitis B Virus Intra-host Population and Host-specific Immune Marker Diversity","Enrolling by invitation","No Results Available","Hepatitis B|Hepatitis B, Chronic|End Stage Liver Disease|Carcinoma, Hepatocellular","","Universitaire Ziekenhuizen Leuven|Fund for Scientific Research, Flanders, Belgium","Both","Child|Adult|Senior","","274","Other","Observational","Time Perspective: Prospective","S56121|12G1714N","April 4, 2014","April 2014","December 2017","May 22, 2014","May 2014","No Study Results Posted","null","December 2017","genetic variants of Hepatitis B|genetic variation in host-specific immune markers","https://ClinicalTrials.gov/show/NCT02148562"
67,"NCT00725842","Relapse Rate in Hepatitis C Patients Treated With Peginterferon Alfa-2b Plus Ribavirin in Common Clinical Practice in France (P05484)(Completed)","Terminated","Has Results","Hepatitis C|Hepatitis C, Chronic","Biological: Peg-IFN alfa-2b|Drug: Ribavirin","Merck Sharp & Dohme Corp.","Both","Adult|Senior","","97","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","P05484","July 28, 2008","January 2009","June 2011","September 18, 2015","September 2015","June 13, 2012","RE-CHUT","June 2011","Number of Participants With Positive Hepatitis C Virus (HCV)-Ribonucleic Acid (RNA) at 24 Weeks Off-treatment|Number of Participants With Rapid Virologic Response (RVR), Early Virologic Response (EVR), or Slow Response Who Relapsed After Treatment|Assessment of Pre-treatment Risk Factors of Relapse in Participants With Sustained Virologic Response|Number of Participants With Positive HCV-RNA at 72 Weeks Off-treatment","https://ClinicalTrials.gov/show/NCT00725842"
68,"NCT00704717","Evaluation of Patient Satisfaction in Hepatitis C Patients Treated With PegIntron Pen and Rebetol in Romania (Study P04301)","Completed","Has Results","Hepatitis C, Chronic|Hepatitis C","Biological: PegIntron (peginterferon alfa-2b; SCH 54031) pen|Drug: Rebetol (ribavirin; SCH 18908)","Merck Sharp & Dohme Corp.","Both","Child|Adult|Senior","","185","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","P04301","June 23, 2008","September 2005","December 2007","April 8, 2015","April 2015","February 11, 2009","null","December 2007","Satisfaction of Patients Receiving PegIntron Pen Plus Rebetol Therapy, Assessed by a Survey.","https://ClinicalTrials.gov/show/NCT00704717"
69,"NCT00705107","Adherence to Treatment With PegIntron Pen Plus Rebetol in Treatment-naïve Adult Patients With Hepatitis C in Romania (Study P04247)","Terminated","Has Results","Hepatitis C, Chronic|Hepatitis C","Biological: PegIntron pen (peginterferon alfa-2b; SCH 54031)|Drug: Rebetol (ribavirin; SCH 18908)","Merck Sharp & Dohme Corp.","Both","Child|Adult|Senior","","267","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","P04247","June 23, 2008","November 2004","November 2007","June 3, 2015","June 2015","February 11, 2009","null","November 2007","Number of Subjects Who Completed Treatment.|Average Length of Treatment.","https://ClinicalTrials.gov/show/NCT00705107"
70,"NCT00512941","Laboratory Profile of Hepatitis B and C in Users of a Reference Service","Completed","No Results Available","Hepatitis, Viral, Non-A, Non-B, Parenterally-Transmitted|Hepatitis B, Chronic","","UPECLIN HC FM Botucatu Unesp","Both","Adult|Senior","","531","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","upeclin/HC/FMB-Unesp-15","August 6, 2007","June 2007","August 2007","September 4, 2008","September 2008","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00512941"
71,"NCT00867243","Prediction of Hepatitis C Recurrence in Liver Transplant Recipients","Terminated","No Results Available","Complication of Transplanted Liver|Hepatitis C, Chronic","","Northwestern University|Northwestern Memorial Hospital","Both","Adult|Senior","","24","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","STU12442 1963-002","March 19, 2009","October 2005","May 2011","June 10, 2013","June 2013","No Study Results Posted","null","May 2010","To assess whether in-vitro donor-specific immune reactivity patterns are indicative of rate of HCV recurrence|To compare in-vitro donor-specific immune reactivity patterns and rejection episodes in liver transplant recipients|To establish immune monitoring protocol for HCV+ liver transplant recipients that will aid in tailoring immunosuppression protocols for these patients and in devising strategies to treat patients with recurrent hepatitis C post-liver transplantation.","https://ClinicalTrials.gov/show/NCT00867243"
